GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,82,81.82986,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,USA,United States of America,,,,,MLE,Male,,,,,,,,135,134.95190,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,80,80.17417,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,108,107.82460,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,2010,2010,,,USA,United States of America,,,,,MLE,Male,,,,,,,,132,131.64430,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,2014,2014,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,81,80.74710,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,2014,2014,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,106,106.29380,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,USA,United States of America,,,,,MLE,Male,,,,,,,,137,137.30520,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,83,82.73055,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00930,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH9,Acute lower respiratory infections,,0,0.03109,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH11,Birth asphyxia and birth trauma,,0,0.01126,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH13,"Other communicable, perinatal and nutritional conditions",,0,0.03683,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases,,0,0.00678,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases,,0.3,0.27927,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH2,HIV/AIDS,,0,0.00006,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0,0.01940,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0.1,0.06447,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.2,0.24802,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH15,Congenital anomalies,,0.2,0.24800,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH17,Injuries,,0,0.01013,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.00053,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01526,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00667,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.06119,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH11,Birth asphyxia and birth trauma,,0,0.01209,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH13,"Other communicable, perinatal and nutritional conditions",,0.1,0.14131,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH13,"Other communicable, perinatal and nutritional conditions",,0,0.03970,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases,,0,0.00771,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0.1,0.10658,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH2,HIV/AIDS,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0,0.01868,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00012,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH6,Measles,,0,0.00005,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0.1,0.05908,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.04934,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.2,0.24584,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases,,0.1,0.12155,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH17,Injuries,,0,0.00961,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.00035,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01432,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.06470,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.07066,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH11,Birth asphyxia and birth trauma,,0,0.00898,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH13,"Other communicable, perinatal and nutritional conditions",,0.1,0.14483,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.2,0.24810,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases,,0,0.00479,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0.1,0.10979,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0,0.04447,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0,0.01917,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00012,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.5,0.47411,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0.1,0.06398,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.05261,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH13,"Other communicable, perinatal and nutritional conditions",,0.1,0.09954,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.2,0.23772,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases,,0.1,0.12151,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.00070,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,USA,United States of America,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.00030,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,USA,United States of America,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01386,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,USA,United States of America,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0,0.00619,,,,,
